Era,Pos,B,W,H,JS
2015-10-04 to Present,D1,0.005914333565077732,0.0007987017320467303,0.07679113440569031,0.07262167848370794
2015-10-04 to Present,D2,0.007917004214738262,0.0010021680526837921,0.08880173015409884,0.08725529634522776
2015-10-04 to Present,D3,0.010827975701490902,0.001372400421753623,0.10377651077598886,0.09898899425071829
2015-10-04 to Present,D4,0.008590188253940754,0.0008856572924144828,0.09248458253805276,0.09021982616974403
2015-10-04 to Present,D5,0.005090523128661437,0.0009645428611005023,0.07125719874743121,0.06896065066570867
2015-10-04 to Present,PowerBall,0.0021650929959166026,0.0041680606859765615,0.04650538541594808,0.046488987783500496
1997-11-01 to 2008-11-12,D1,0.004454779190782491,0.0013705788379171204,0.06666986860488969,0.062382870582530094
1997-11-01 to 2008-11-12,D2,0.00869343920191197,0.0017376953905055713,0.09303633980414447,0.0846522880308092
1997-11-01 to 2008-11-12,D3,0.011296515886656389,0.0020740287284295774,0.10598561145046995,0.1026672294079981
1997-11-01 to 2008-11-12,D4,0.013899958014312748,0.0015861742711159466,0.11748957249873528,0.11657878709864745
1997-11-01 to 2008-11-12,D5,0.040419834295896274,0.0027602691052319894,0.19903228015184246,0.19668568124798175
1997-11-01 to 2008-11-12,PowerBall,0.005464408864114512,0.0038176845499599626,0.07382077037808853,0.07373736493840308
2008-11-12 to 2012-01-15,D1,0.016632499105540814,0.0020230580256310297,0.12843263908874084,0.11922380937774611
2008-11-12 to 2012-01-15,D2,0.029597632311921744,0.0024313884196261164,0.1707744476137074,0.16012349362998424
2008-11-12 to 2012-01-15,D3,0.0235614018372995,0.002832425541921151,0.1525975072095059,0.14590448624122893
2008-11-12 to 2012-01-15,D4,0.029660014149414382,0.003370618993694344,0.17095166746154064,0.16329480106839048
2008-11-12 to 2012-01-15,D5,0.025678746516501528,0.002070686443772006,0.1592226477819429,0.1439568754338035
2008-11-12 to 2012-01-15,PowerBall,0.019563681209397023,0.007054539837672367,0.13918891578632178,0.13710246793997544
2012-01-15 to 2015-10-04,D1,0.01437834359854321,0.0013564998610279947,0.1194799935660175,0.11412748498296649
2012-01-15 to 2015-10-04,D2,0.02094037571306095,0.001983948054346655,0.14395363301215156,0.13624280250966214
2012-01-15 to 2015-10-04,D3,0.015908706046140093,0.002125709458878319,0.12562973759939908,0.1216637783359267
2012-01-15 to 2015-10-04,D4,0.02095974738717674,0.002054936041190035,0.14401950741263755,0.13835301546837964
2012-01-15 to 2015-10-04,D5,0.013301617527479478,0.0011615886808885882,0.1149501716457056,0.10958318685756674
2012-01-15 to 2015-10-04,PowerBall,0.010969444072339575,0.0059226994894961355,0.10444854766137747,0.1040569302378249
