D1,D2,D3,D4,D5,PowerBall,Winners,Jackpot,Date
6.0,26.0,33.0,44.0,46.0,4.0,318229,No,2015-10-03
21.0,39.0,40.0,55.0,59.0,17.0,1369056,Yes,2015-09-30
23.0,31.0,42.0,50.0,57.0,5.0,888150,No,2015-09-26
8.0,29.0,41.0,51.0,58.0,5.0,790478,No,2015-09-23
12.0,17.0,26.0,43.0,48.0,24.0,652860,No,2015-09-19
5.0,7.0,24.0,31.0,39.0,7.0,601921,No,2015-09-16
2.0,3.0,13.0,16.0,35.0,27.0,485347,No,2015-09-12
44.0,45.0,47.0,50.0,51.0,8.0,429757,No,2015-09-09
10.0,16.0,18.0,29.0,45.0,19.0,445152,No,2015-09-05
17.0,22.0,30.0,46.0,56.0,16.0,372807,No,2015-09-02
18.0,21.0,25.0,28.0,29.0,16.0,387082,No,2015-08-29
2.0,22.0,32.0,45.0,56.0,12.0,379297,No,2015-08-26
4.0,12.0,14.0,21.0,55.0,7.0,395217,No,2015-08-22
6.0,8.0,43.0,48.0,50.0,7.0,342494,No,2015-08-19
3.0,13.0,17.0,42.0,52.0,24.0,314097,No,2015-08-15
8.0,13.0,29.0,38.0,52.0,28.0,261489,No,2015-08-12
9.0,34.0,48.0,52.0,54.0,15.0,293602,No,2015-08-08
9.0,11.0,14.0,16.0,42.0,19.0,269315,No,2015-08-05
7.0,13.0,24.0,49.0,57.0,15.0,406185,Yes,2015-08-01
4.0,22.0,27.0,28.0,52.0,35.0,357907,No,2015-07-29
27.0,29.0,34.0,41.0,44.0,2.0,319867,No,2015-07-25
12.0,31.0,43.0,44.0,57.0,11.0,301612,No,2015-07-22
6.0,37.0,39.0,45.0,55.0,33.0,286547,No,2015-07-18
13.0,16.0,34.0,45.0,50.0,11.0,283884,No,2015-07-15
11.0,39.0,46.0,52.0,54.0,3.0,296206,No,2015-07-11
4.0,15.0,25.0,27.0,30.0,18.0,263140,No,2015-07-08
3.0,6.0,14.0,18.0,24.0,21.0,312551,Yes,2015-07-04
7.0,24.0,26.0,31.0,41.0,25.0,275876,No,2015-07-01
18.0,28.0,35.0,46.0,49.0,27.0,285585,No,2015-06-27
3.0,5.0,10.0,22.0,32.0,7.0,312358,No,2015-06-24
9.0,10.0,16.0,20.0,57.0,15.0,336876,Yes,2015-06-20
20.0,21.0,22.0,41.0,54.0,7.0,336071,No,2015-06-17
29.0,41.0,48.0,52.0,54.0,29.0,301671,No,2015-06-13
31.0,32.0,48.0,49.0,53.0,25.0,273886,No,2015-06-10
8.0,13.0,18.0,27.0,43.0,15.0,316137,No,2015-06-06
6.0,8.0,13.0,37.0,40.0,11.0,554186,Yes,2015-06-03
8.0,9.0,25.0,56.0,57.0,22.0,490900,No,2015-05-30
8.0,15.0,34.0,53.0,59.0,23.0,423528,No,2015-05-27
9.0,15.0,17.0,31.0,43.0,16.0,433341,No,2015-05-23
1.0,12.0,28.0,35.0,44.0,25.0,389350,No,2015-05-20
24.0,29.0,38.0,48.0,52.0,32.0,362068,No,2015-05-16
1.0,25.0,29.0,31.0,47.0,7.0,399640,No,2015-05-13
4.0,15.0,17.0,35.0,58.0,17.0,351785,No,2015-05-09
23.0,24.0,27.0,39.0,41.0,30.0,287300,No,2015-05-06
2.0,6.0,11.0,30.0,31.0,33.0,332009,No,2015-05-02
1.0,26.0,34.0,38.0,51.0,6.0,286728,No,2015-04-29
