D1,D2,D3,D4,D5,PowerBall,Prob,NLL,Offset,jProb,jNLL,BoundedP,BoundedNLL,Winners,Jackpot,NLLbeta,Date,is_jackpot,inter_arrival,pD1,pD2,pD3,pD4,pD5,pPowerBall,running_burstiness
2.0,4.0,21.0,36.0,40.0,41.0,4.1080782787443524e-10,21.612895582859892,1,3.914825013550602e-08,17.0559101119196,6.584783566065922e-08,16.535919277016955,296138,No,20.766560843208744,2008-11-08,0,0,0.040736578400239365,0.013797458783233702,0.036203870251496344,0.04463171356316032,0.05031125712922236,0.008990654870663521,-0.11389887272924071
4.0,8.0,18.0,33.0,36.0,32.0,1.1868737251795309e-09,20.551943108460918,2,2.8812133531072512e-08,17.36246923536553,3.562678632706643e-08,17.150168057100547,267441,No,21.029172622553066,2008-11-05,0,0,0.05177488215685684,0.024915547327391128,0.02856763442592063,0.04318541757748216,0.031318476526451366,0.023812387094146525,-0.11389887272924071
4.0,6.0,26.0,40.0,41.0,15.0,2.8818589758932764e-09,19.66483027328899,3,6.894981804122366e-08,16.489886871706613,4.3822930120306206e-08,16.94310863782368,300344,No,20.21193542543236,2008-11-01,0,0,0.05177488215685684,0.019006973858822447,0.04276574445442939,0.03931958141109403,0.05396998144939077,0.032268846205363425,-0.11389887272924071
20.0,30.0,37.0,50.0,52.0,33.0,6.67139857209924e-11,23.430606504012555,4,1.5210891708974264e-08,18.00125410589964,4.994949107462534e-08,16.812253520599945,329314,Yes,21.64543474783533,2008-10-29,1,0,0.018248978937609666,0.018487529202427175,0.022598950167255424,0.012203167361803543,0.0326335124416004,0.021972263166844176,-0.08402922921219082
1.0,3.0,14.0,38.0,48.0,2.0,1.6612900339715836e-10,22.518256500481773,5,4.134464308896716e-08,17.00132297431729,1.1052400758283112e-07,16.01803307639379,370973,No,20.724318169029754,2008-10-25,0,0,0.03503659365835229,0.011538743326251521,0.01775461278057064,0.04292530164894223,0.05135665930901029,0.010498898670948302,0.047593596528825007
10.0,17.0,33.0,51.0,52.0,5.0,4.946300851273094e-10,21.427210935502877,6,8.860969882297315e-08,16.239024517798597,4.048825597647146e-08,17.02225388077465,346176,No,19.975513247633955,2008-10-22,0,0,0.06489281970539651,0.04557412192738386,0.033435447836141226,0.010151829657485616,0.0326335124416004,0.01509907302964503,0.047593596528825007
10.0,14.0,32.0,40.0,49.0,15.0,5.803503090256176e-09,18.964804120638547,7,1.2717767993516943e-07,15.877680673645227,1.687182809631789e-08,17.897620582518034,337084,No,19.595915488144847,2008-10-18,0,0,0.06489281970539651,0.04166815682601187,0.03583818531121881,0.03931958141109403,0.04720097295423558,0.032268846205363425,0.047593596528825007
3.0,13.0,32.0,38.0,48.0,13.0,4.238292627995774e-09,19.27910533087721,8,2.0289978455734028e-07,15.41055365193216,1.3420772349343775e-08,18.126462154946882,320126,No,19.14232232013036,2008-10-15,0,0,0.04639989124151627,0.03945070251878546,0.03583818531121881,0.04292530164894223,0.05135665930901029,0.029306442494868957,0.047593596528825007
3.0,7.0,17.0,39.0,47.0,9.0,1.3207879638821767e-09,20.445037336112353,9,1.0246503363820883e-07,16.0937442318048,2.7163542180227383e-08,17.421390123752836,353313,No,19.8201331011668,2008-10-11,0,0,0.04639989124151627,0.0218970826115374,0.02580287052968408,0.04133404460831715,0.054808884872159847,0.022238371960124455,0.047593596528825007
2.0,12.0,17.0,48.0,54.0,2.0,1.6032764991701787e-10,22.55380158262218,10,2.187700884861106e-07,15.335244482845724,2.249577079509052e-08,17.60993851006625,280268,No,19.090199382338035,2008-10-08,0,0,0.040736578400239365,0.03689063138024648,0.02580287052968408,0.016999978035516228,0.023165819196422955,0.010498898670948302,0.047593596528825007
1.0,4.0,26.0,32.0,39.0,18.0,1.4030121713844423e-09,20.38464436060752,11,3.604662875050066e-08,17.138452493524525,6.958918995956032e-08,16.480656598341906,347974,Yes,20.840563877654226,2008-10-04,1,7,0.03503659365835229,0.013797458783233702,0.04276574445442939,0.04168513174586848,0.04600303188251695,0.03538969229880167,0.047593596528825007
8.0,9.0,39.0,43.0,55.0,26.0,6.313523485904248e-10,21.18315701210079,12,1.5625720305114027e-07,15.671762449865154,2.082253164504247e-08,17.6872301843679,311654,No,19.410575435936998,2008-10-01,0,0,0.06534692674600528,0.02800048169070633,0.017349652291591067,0.031459399951008334,0.0189606037374947,0.033341701430732854,0.0
13.0,24.0,29.0,40.0,52.0,29.0,3.078583017673701e-09,19.59879640501748,13,9.558999219725941e-08,16.163197706497908,1.561689873378185e-08,17.974912256819678,1021647,Yes,19.855958959452003,2008-09-27,1,2,0.055039810385107274,0.036383044365062026,0.04121208248974989,0.03931958141109403,0.0326335124416004,0.029072182575946685,-0.42208751442902925
