D1,D2,D3,D4,D5,PowerBall,Prob,NLL,Offset,jProb,jNLL,BoundedP,BoundedNLL,Winners,Jackpot,NLLbeta,Date,is_jackpot,inter_arrival,pD1,pD2,pD3,pD4,pD5,pPowerBall,running_burstiness
23.0,27.0,32.0,35.0,59.0,11.0,1.3762604517396184e-09,20.403895833559282,1,7.262584834221567e-09,18.740530033704548,3.201926278849356e-08,17.256928153112796,289165,No,21.91155606004878,2025-05-28,0,0,0.02454972132616525,0.032974398325319794,0.030619980300210698,0.02078010654727958,0.04837872060619961,0.055229374877540045,0.0
13.0,47.0,52.0,64.0,67.0,25.0,2.5817545555296222e-11,24.37996679485439,2,3.601139043994559e-09,19.442015640419022,2.5102821155452736e-08,17.500285600493118,216606,No,22.603536881005688,2025-05-26,0,0,0.04755988872163023,0.005144404638693411,0.013545942169742954,0.012845771474656854,0.032617548397054774,0.018591664632770077,0.0
12.0,18.0,28.0,48.0,52.0,5.0,1.5947068248331037e-09,20.25657592648659,3,1.910386467416767e-08,17.773375183399935,1.2013224157152193e-08,18.237257780833087,399261,No,20.992270461050243,2025-05-24,0,0,0.04782109653187597,0.03068595763909727,0.02667765177312106,0.03404441339325005,0.03832148780833729,0.031223804910843814,0.0
9.0,29.0,31.0,34.0,43.0,2.0,1.922342444722689e-10,22.372306464231354,4,4.91811948674017e-09,19.13033959764841,4.534318259808457e-08,16.909006000283657,247124,No,22.284913990580986,2025-05-21,0,0,0.04550093217107544,0.031037098634865163,0.029862409319435994,0.019073145718321673,0.012854757763895405,0.018591664632770077,0.0
13.0,14.0,37.0,50.0,60.0,11.0,3.2663220599681982e-09,19.53960123734912,5,3.4784091247444133e-08,17.174105702751962,1.0054357880444837e-08,18.415259676482528,243208,No,20.417336406053394,2025-05-19,0,0,0.04755988872163023,0.024802499046162045,0.03159094246686264,0.03315902201424601,0.047861720836313244,0.055229374877540045,0.0
7.0,34.0,40.0,42.0,52.0,15.0,2.0131598060179164e-09,20.02356030644624,6,1.4542006710415995e-08,18.04622436126796,1.8761286790132943e-08,17.7914703034961,349534,No,21.237591578423928,2025-05-17,0,0,0.041655724163147854,0.02361914022785844,0.02985541253947692,0.0312818724843075,0.03832148780833729,0.05717172518867214,0.0
4.0,10.0,24.0,29.0,53.0,4.0,1.554944856674123e-10,22.58441084688395,7,9.817573220494877e-09,18.43909187134327,1.2873241618180889e-08,18.168114973068775,254681,No,21.632084154785694,2025-05-14,0,0,0.03359209650763555,0.017935188543109885,0.02102445805691555,0.01121673985216266,0.040949152566431515,0.02672609823378453,0.0
15.0,16.0,41.0,48.0,60.0,21.0,2.15198234319316e-09,19.956876399516425,8,2.8322484023490522e-08,17.37960985927355,9.84678404033243e-09,18.436120928440246,202948,No,20.612106338715382,2025-05-12,0,0,0.04551093524599081,0.027974395996865437,0.028933272413458732,0.03404441339325005,0.047861720836313244,0.03585341303381363,0.0
5.0,20.0,28.0,39.0,42.0,13.0,5.462841357284133e-10,21.327881880435235,9,9.151318598447067e-09,18.509367858921806,1.4312569573400696e-08,18.062127694620138,349824,No,21.691757213772988,2025-05-10,0,0,0.03648985957531103,0.032736506398753126,0.02667765177312106,0.0273483146212734,0.010775787468140209,0.058168368432970796,0.0
14.0,15.0,30.0,40.0,59.0,20.0,2.017456665546095e-09,20.021428195298352,10,2.2346687644463798e-08,17.616587730697226,1.0482496746233009e-08,18.373558947283584,209219,No,20.837441440754517,2025-05-07,0,0,0.0467813668183237,0.026432538241511518,0.028941560116458286,0.028796952032501197,0.04837872060619961,0.04046407330697239,0.0
16.0,34.0,40.0,45.0,66.0,19.0,1.6609000943198708e-09,20.215906156035185,11,2.2838967395933093e-08,17.5947976635163,9.08826523193253e-09,18.516281790541754,185095,No,20.800645249725083,2025-05-05,0,0,0.043789439996349856,0.02361914022785844,0.02985541253947692,0.03365098936469936,0.03561115105876608,0.04488519418583122,0.0
10.0,21.0,23.0,35.0,65.0,24.0,5.48383667476554e-10,21.324045950820004,12,2.714042817048264e-08,17.42224140630147,9.590707724409709e-09,18.46247115260825,294869,No,20.634424200287118,2025-05-03,0,0,0.046774511694259925,0.033461567916627445,0.01950123006890008,0.02078010654727958,0.038453818789950224,0.022484317587602495,0.0
